timestamp,service,anomaly_score,severity,action,escalate_to_human
2026-04-30 13:22:53.698785,auth,0.6932892997941602,LOW,Monitor,False
2026-04-30 13:22:53.698785,payments,0.5267863428708764,LOW,Monitor,False
2026-04-30 13:22:53.698785,search,0.8581375115541603,LOW,Monitor,False
2026-04-30 13:22:53.698785,recommendation,0.5812072663263093,LOW,Monitor,False
2026-04-30 13:32:53.698785,auth,0.7553113328779134,LOW,Monitor,False
2026-04-30 13:32:53.698785,payments,0.9918382113511924,LOW,Monitor,False
2026-04-30 13:32:53.698785,search,0.7743041341135299,LOW,Monitor,False
2026-04-30 13:32:53.698785,recommendation,0.6844676616113728,LOW,Monitor,False
2026-04-30 13:42:53.698785,payments,2.7260429921541323,MEDIUM,Investigate latency + check logs,False
2026-04-30 13:42:53.698785,auth,0.826445966820315,LOW,Monitor,False
2026-04-30 13:42:53.698785,recommendation,0.5742386153933579,LOW,Monitor,False
2026-04-30 13:42:53.698785,search,0.6972870151889853,LOW,Monitor,False
2026-04-30 13:52:53.698785,auth,0.7134126497775606,LOW,Monitor,False
2026-04-30 13:52:53.698785,payments,0.8507353113748835,LOW,Monitor,False
2026-04-30 13:52:53.698785,search,0.6896956606527325,LOW,Monitor,False
2026-04-30 13:52:53.698785,recommendation,0.6332943607953387,LOW,Monitor,False
2026-04-30 14:02:53.698785,search,0.6659939926827447,LOW,Monitor,False
2026-04-30 14:02:53.698785,recommendation,0.6047817032797431,LOW,Monitor,False
2026-04-30 14:02:53.698785,auth,0.7957502811343157,LOW,Monitor,False
2026-04-30 14:02:53.698785,payments,0.7115403258456905,LOW,Monitor,False
2026-04-30 14:12:53.698785,payments,0.5544309370879821,LOW,Monitor,False
2026-04-30 14:12:53.698785,auth,0.627239363980899,LOW,Monitor,False
2026-04-30 14:12:53.698785,recommendation,0.778033308744876,LOW,Monitor,False
2026-04-30 14:12:53.698785,search,0.9104319432339276,LOW,Monitor,False
2026-04-30 14:22:53.698785,auth,0.7201548491000693,LOW,Monitor,False
2026-04-30 14:22:53.698785,payments,0.682442076989947,LOW,Monitor,False
2026-04-30 14:22:53.698785,search,0.8262251235593767,LOW,Monitor,False
2026-04-30 14:22:53.698785,recommendation,0.4186582683500576,LOW,Monitor,False
2026-04-30 14:32:53.698785,auth,0.8909364960172,LOW,Monitor,False
2026-04-30 14:32:53.698785,payments,0.5305008532993354,LOW,Monitor,False
2026-04-30 14:32:53.698785,search,0.9493365618560394,LOW,Monitor,False
2026-04-30 14:32:53.698785,recommendation,0.6387899966643493,LOW,Monitor,False
2026-04-30 14:42:53.698785,recommendation,0.9193738374723353,LOW,Monitor,False
2026-04-30 14:42:53.698785,search,0.7760543665772657,LOW,Monitor,False
2026-04-30 14:42:53.698785,payments,0.7847544402593916,LOW,Monitor,False
2026-04-30 14:42:53.698785,auth,0.6570352475479276,LOW,Monitor,False
2026-04-30 14:52:53.698785,auth,0.9336957234372201,LOW,Monitor,False
2026-04-30 14:52:53.698785,payments,0.7092215191699639,LOW,Monitor,False
2026-04-30 14:52:53.698785,search,0.7159018884822176,LOW,Monitor,False
2026-04-30 14:52:53.698785,recommendation,0.9743834788861181,LOW,Monitor,False
2026-04-30 15:02:53.698785,payments,0.4282716104008474,LOW,Monitor,False
2026-04-30 15:02:53.698785,search,0.5466952050680429,LOW,Monitor,False
2026-04-30 15:02:53.698785,auth,0.871041184852492,LOW,Monitor,False
2026-04-30 15:02:53.698785,recommendation,0.8176983954216056,LOW,Monitor,False
2026-04-30 15:12:53.698785,payments,0.5324634089579455,LOW,Monitor,False
2026-04-30 15:12:53.698785,auth,0.9788726984682934,LOW,Monitor,False
2026-04-30 15:12:53.698785,recommendation,0.782070650799267,LOW,Monitor,False
2026-04-30 15:12:53.698785,search,0.44041532231410835,LOW,Monitor,False
2026-04-30 15:22:53.698785,auth,0.7017231659803758,LOW,Monitor,False
2026-04-30 15:22:53.698785,payments,0.639432767291393,LOW,Monitor,False
2026-04-30 15:22:53.698785,search,0.6861215386106698,LOW,Monitor,False
2026-04-30 15:22:53.698785,recommendation,0.5959929032540696,LOW,Monitor,False
2026-04-30 15:32:53.698785,search,0.62487849527191,LOW,Monitor,False
2026-04-30 15:32:53.698785,recommendation,0.7530526518657101,LOW,Monitor,False
2026-04-30 15:32:53.698785,auth,0.9345324251477247,LOW,Monitor,False
2026-04-30 15:32:53.698785,payments,0.8679273385837034,LOW,Monitor,False
2026-04-30 15:42:53.698785,payments,0.8034485164852382,LOW,Monitor,False
2026-04-30 15:42:53.698785,auth,0.5629782917812416,LOW,Monitor,False
2026-04-30 15:42:53.698785,recommendation,0.6461700566401536,LOW,Monitor,False
2026-04-30 15:42:53.698785,search,0.7705086257021831,LOW,Monitor,False
2026-04-30 15:52:53.698785,search,0.7772764179013023,LOW,Monitor,False
2026-04-30 15:52:53.698785,recommendation,0.6625208228186729,LOW,Monitor,False
2026-04-30 15:52:53.698785,auth,0.7249980770224047,LOW,Monitor,False
2026-04-30 15:52:53.698785,payments,0.7856109382170525,LOW,Monitor,False
2026-04-30 16:02:53.698785,auth,0.6379304826189379,LOW,Monitor,False
2026-04-30 16:02:53.698785,payments,0.7815115021918668,LOW,Monitor,False
2026-04-30 16:02:53.698785,search,0.48239649884689384,LOW,Monitor,False
2026-04-30 16:02:53.698785,recommendation,0.806020795026233,LOW,Monitor,False
2026-04-30 16:12:53.698785,payments,0.8413108791993503,LOW,Monitor,False
2026-04-30 16:12:53.698785,auth,0.9419765278037915,LOW,Monitor,False
2026-04-30 16:12:53.698785,recommendation,0.5215157290357693,LOW,Monitor,False
2026-04-30 16:12:53.698785,search,0.9174346355082694,LOW,Monitor,False
2026-04-30 16:22:53.698785,auth,0.6404485630902951,LOW,Monitor,False
2026-04-30 16:22:53.698785,payments,0.8980950393683667,LOW,Monitor,False
2026-04-30 16:22:53.698785,search,0.6516771887160671,LOW,Monitor,False
2026-04-30 16:22:53.698785,recommendation,0.6095382824284334,LOW,Monitor,False
2026-04-30 16:32:53.698785,search,0.5939161671935426,LOW,Monitor,False
2026-04-30 16:32:53.698785,recommendation,0.60879785426259,LOW,Monitor,False
2026-04-30 16:32:53.698785,auth,0.7769974268972113,LOW,Monitor,False
2026-04-30 16:32:53.698785,payments,0.7623287842562593,LOW,Monitor,False
2026-04-30 16:42:53.698785,auth,0.6429834303155229,LOW,Monitor,False
2026-04-30 16:42:53.698785,payments,0.6986600306371028,LOW,Monitor,False
2026-04-30 16:42:53.698785,search,0.5581985430512557,LOW,Monitor,False
2026-04-30 16:42:53.698785,recommendation,0.47856113566283087,LOW,Monitor,False
2026-04-30 16:52:53.698785,search,0.743615322654339,LOW,Monitor,False
